text,category
"Congratulations! You have won a free iPhone. Click here to claim your prize now!",spam
"You are selected for a lottery worth $1000000. Reply with your bank details to claim.",spam
"Hot singles in your area want to meet you tonight. Click now!",spam
"Make money fast from home, no experience needed, click this link!",spam
"You have been selected for a free vacation package, claim before it expires!",spam
"URGENT: Your account will be suspended unless you verify immediately by clicking this link.",spam
"Get rich quick with this one simple trick, limited time offer!",spam
"You've won a gift card worth $500, click to redeem now!",spam
"Earn $5000 per week working from home, no skills required, sign up now.",spam
"Claim your inheritance of $2 million dollars, contact us immediately.",spam
"Dear student, your semester examination results have been published. Login to the portal to check.",important
"This is to inform you that the end semester exams will commence from next Monday.",important
"Your project review meeting with the HOD is scheduled for tomorrow at 10 AM.",important
"Reminder: Submit your assignment before the deadline on Friday.",important
"Your internship application has been shortlisted, please attend the interview on Monday.",important
"The college has announced a holiday on account of festival, classes will resume on Wednesday.",important
"Your fee payment for this semester is due by the 15th of this month.",important
"Important notice: Attendance shortage students must meet the class advisor immediately.",important
"Your job application at TechCorp has moved to the next round, interview scheduled next week.",important
"Meeting rescheduled: Project discussion with mentor moved to 3 PM today.",important
"Hurry! Flat 50% off on all electronics this weekend only.",promotions
"Get an extra 20% discount on your next purchase, use code SAVE20.",promotions
"New arrivals are here, check out the latest fashion collection now.",promotions
"Black Friday sale starts now, grab the best deals before they are gone.",promotions
"Subscribe to our newsletter and get 10% off your first order.",promotions
"Exclusive offer just for you, buy one get one free on all shoes.",promotions
"Your favorite store has a mega sale this week, shop now and save big.",promotions
"Limited stock available, order your favorite gadgets before they run out.",promotions
"Flash sale alert! Up to 70% off on summer clothing collection.",promotions
"Don't miss our anniversary sale with discounts on all categories.",promotions
"Your OTP for login is 348291. Do not share this with anyone.",otp
"Use 583920 as your one time password to complete the transaction.",otp
"Your verification code is 102934, valid for 10 minutes.",otp
"OTP for your bank transaction is 774512, please do not share it.",otp
"Your one time password to reset your account password is 209384.",otp
"Use code 459102 to verify your mobile number on our app.",otp
"Your login OTP is 663218, valid for 5 minutes only.",otp
"Transaction alert: OTP 928374 has been generated for your card payment.",otp
"Your account verification code is 384729, do not share with anyone.",otp
"Please use 192837 as your OTP to confirm your email address.",otp
"Dear student, the library books due date has been extended by one week.",important
"Your scholarship application has been approved, visit the office to collect the documents.",important
"Placement drive notification: TCS will be visiting the campus next Tuesday for recruitment.",important
"Your project report submission deadline has been extended to next Friday.",important
"Reminder: Fee payment last date is approaching, pay before late fine applies.",important
"Get 30% cashback on your next online order, limited period offer.",promotions
"Shop now and get free shipping on orders above 500 rupees.",promotions
"Mega discount sale on mobile phones, ends tonight.",promotions
"You are pre-approved for a personal loan with low interest rate, apply now.",spam
"Click here to update your KYC details immediately or your account will be blocked.",spam
"Your Amazon order OTP is 837462, do not share it with anyone.",otp
"Your delivery OTP for package verification is 192384.",otp
"Class test postponed to next week due to college event, new schedule will be shared soon.",important
"Congratulations, you have been awarded a cash prize, contact us to claim now.",spam
"Buy 1 get 1 free on all bestselling books this week only.",promotions
"Your semester fee receipt has been generated, download it from the student portal.",important
